date,stress_market_30d,stress_market,z_fx,z_y10,regime
2012-11-01,1.0882632300682173,1.0305092938405775,0.276609968505519,1.784408619175636,Estrés moderado
2012-12-19,0.9652423529554592,0.9730230868423244,0.2908150970362772,1.6552310766483715,Estrés moderado
2013-01-18,1.0837272247602934,1.2388191206199932,0.6004463974944638,1.8771918437455226,Estrés moderado
2013-02-19,1.219277738528759,1.1955333461857378,0.5545289068703679,1.8365377855011078,Estrés moderado
2021-10-08,1.119833401279437,2.221909805918663,0.6258430851585366,3.8179765266787893,Estrés moderado
2021-11-09,1.9758585494069565,1.7272482485704248,0.34908133127931673,3.1054151658615328,Estrés alto
2021-12-09,1.3984200975072436,1.4088957900753412,0.7759908112743311,2.0418007688763513,Estrés moderado
2022-01-17,1.6029235938072555,1.2277998122696485,0.3336948233367121,2.121904801202585,Estrés alto
2022-06-03,0.9413572579423566,0.4197244952935653,-0.2705317582564667,1.1099807488435973,Estrés moderado
2022-07-11,0.9735003793429078,1.8148161714615392,2.2556968902006047,1.3739354527224736,Estrés moderado
2022-08-10,1.7282801234121807,1.5608196799125533,0.9979100539891436,2.123729305835963,Estrés alto
2022-09-09,1.4348583448779841,1.0168075659597546,0.19493844987236383,1.8386766820471456,Estrés moderado
2022-11-02,1.470337918289149,1.3047373652152114,1.2826870841819171,1.3267876462485058,Estrés moderado
2024-04-08,1.0529372689355525,0.9706853439979745,1.3887779240508467,0.5525927639451023,Estrés moderado
2024-05-08,0.938516789242713,0.7156599187742947,1.1514782884752215,0.27984154907336783,Estrés moderado
